C
B0#Pd,B1#Pd,B2#Pd,B0#Qd,B1#Qd,B2#Qd,B0#V,B1#V,B2#V,B0#Pg,B1#Pg,B0#Qg,B1#Qg,totPd,totQd,totPg,totQg
Time,Item,Value
10,0,0.0
,1,10.2
,2,3.8
,3,0.0
,4,3.2
,5,0.7
,6,10.0
,7,9.996814
,8,9.996878
,9,8.489653
,A,9.417487
,B,0.0
,C,0.0
,D,14.0
,E,3.9
,F,17.90714
,G,0.0
16730,2,3.89
,D,14.09
16810,7,9.996846
,8,9.996824
,9,8.539754
,A,9.457422
,F,17.997176
16990,2,3.98
,D,14.18
17110,7,9.996878
,8,9.99677
,9,8.589858
,A,9.497357
,F,18.087216
17750,2,4.07
,D,14.27
17990,2,4.124
,D,14.324
18010,7,9.996929
,8,9.996683
,9,8.670031
,A,9.561256
,F,18.231287
18340,2,4.214
,D,14.414
18580,2,4.213559
,D,14.413559
18590,2,4.212684
,D,14.412684
18600,2,4.211818
,D,14.411818
18610,2,4.210961
,7,9.99696
,8,9.996631
,9,8.718927
,A,9.600227
,D,14.410961
,F,18.319154
18620,2,4.210112
,D,14.410112
18630,2,4.209271
,D,14.409271
18640,2,4.388438
,D,14.588438
18650,2,4.567613
,D,14.767613
18660,2,4.566797
,D,14.766797
18670,2,4.565988
,D,14.765988
18680,2,4.565188
,D,14.765188
18690,2,4.564395
,D,14.764395
18700,2,4.56361
,D,14.76361
18710,2,4.616832
,D,14.816832
18720,2,4.616062
,D,14.816062
18730,2,4.6153
,D,14.8153
18740,2,4.614545
,D,14.814545
18750,2,4.613798
,D,14.813798
18760,2,4.613057
,D,14.813057
18770,2,4.612324
,D,14.812324
18780,2,4.611599
,D,14.811599
18790,2,4.61088
,D,14.81088
18800,2,4.610168
,D,14.810168
18810,2,4.609463
,D,14.809463
18820,2,4.608766
,D,14.808766
18830,2,4.608074
,D,14.808074
18840,2,4.60739
,D,14.80739
18850,2,4.606712
,D,14.806712
18860,2,4.606041
,D,14.806041
18870,2,4.605377
,D,14.805377
18880,2,4.604719
,D,14.804719
18890,2,4.604067
,D,14.804067
18900,2,4.603422
,D,14.803422
18910,2,4.602783
,7,9.997099
,8,9.996395
,9,8.937
,A,9.774017
,D,14.802783
,F,18.711017
18920,2,4.782151
,D,14.982151
18930,2,4.781524
,D,14.981524
18940,2,4.780904
,D,14.980904
18950,2,4.78029
,D,14.98029
18960,2,4.779681
,D,14.979681
18970,2,4.779079
,D,14.979079
18980,2,4.778482
,D,14.978482
18990,2,4.777892
,D,14.977892
19000,2,4.777307
,D,14.977307
19010,2,4.776728
,D,14.976728
19020,2,4.776154
,D,14.976154
19030,2,4.775586
,D,14.975586
19040,2,4.775024
,D,14.975024
19050,2,4.774467
,D,14.974467
19060,2,4.773916
,D,14.973916
19070,2,4.77337
,D,14.97337
19080,2,4.772829
,D,14.972829
19090,2,4.772293
,D,14.972293
19100,2,4.771763
,D,14.971763
19110,2,4.771238
,D,14.971238
19120,2,4.770718
,D,14.970718
19130,2,4.770203
,D,14.970203
19140,2,4.769694
,D,14.969694
19150,2,4.769189
,D,14.969189
19160,2,4.768689
,D,14.968689
19170,2,4.768194
,D,14.968194
19180,2,4.767704
,D,14.967704
19190,2,4.767218
,D,14.967218
19200,2,4.766738
,D,14.966738
19210,2,4.766262
,7,9.997157
,8,9.996297
,9,9.027962
,A,9.8465
,D,14.966262
,F,18.874462
19220,2,4.765791
,D,14.965791
19230,2,4.765324
,D,14.965324
19240,2,4.764862
,D,14.964862
19250,2,4.764404
,D,14.964404
19260,2,4.763951
,D,14.963951
19270,2,4.763502
,D,14.963502
