C
CS1#cnt,CS2#cnt,CS1#c,CS2#c,CS1#pb,CS2#pb
Time,Item,Value
10,0,0
,1,0
,2,0.0
,3,0.0
,4,1.0
,5,1.0
16730,1,1
,3,90.0
16990,1,2
,3,180.0
17750,1,3
,3,270.0
17990,1,4
,3,324.0
18340,1,5
,3,414.0
18580,3,413.559097
18590,3,412.684496
18600,3,411.818437
18610,3,410.960835
18620,3,410.111608
18630,3,409.270674
18640,1,6
,3,588.437953
18650,1,7
,3,767.613363
18660,3,766.796827
18670,3,765.988264
18680,3,765.187597
18690,3,764.39475
18700,3,763.609645
18710,1,8
,3,816.832207
18720,3,816.062361
18730,3,815.300033
18740,3,814.54515
18750,3,813.797639
18760,3,813.057427
18770,3,812.324445
18780,3,811.59862
18790,3,810.879884
18800,3,810.168166
18810,3,809.463399
18820,3,808.765514
18830,3,808.074445
18840,3,807.390124
18850,3,806.712486
18860,3,806.041465
18870,3,805.376998
18880,3,804.71902
18890,3,804.067467
18900,3,803.422277
18910,3,802.783387
18920,1,9
,3,982.150737
18930,3,981.524265
18940,3,980.903911
18950,3,980.289615
18960,3,979.681318
18970,3,979.078961
18980,3,978.482487
18990,3,977.891838
19000,3,977.306956
19010,3,976.727787
19020,3,976.154273
19030,3,975.58636
19040,3,975.023994
19050,3,974.467119
19060,3,973.915682
19070,3,973.36963
19080,3,972.828911
19090,3,972.293473
19100,3,971.763263
19110,3,971.238231
19120,3,970.718327
19130,3,970.203499
19140,3,969.693699
19150,3,969.188878
19160,3,968.688987
19170,3,968.193977
19180,3,967.703802
19190,3,967.218413
19200,3,966.737764
19210,3,966.26181
19220,3,965.790503
19230,3,965.323799
19240,3,964.861652
19250,3,964.404019
19260,3,963.950855
19270,3,963.502116
19280,3,963.057759
19290,3,962.617742
19300,3,962.182022
19310,3,961.750557
19320,3,961.323305
19330,1,10
,3,1140.900226
19340,3,1140.481279
19350,3,1140.066422
19360,3,1139.655618
19370,3,1139.248824
19380,3,1138.846004
19390,3,1138.447117
19400,3,1138.052126
19410,3,1137.660992
19420,3,1137.273677
19430,3,1136.890145
19440,3,1135.976017
19450,3,1134.928947
19460,3,1133.890582
19470,3,1132.860848
19480,3,1131.839673
19490,3,1130.826984
19500,1,9
,3,1125.081267
19510,3,1092.873082
19520,3,1092.236534
19530,3,1091.604759
19540,3,1090.977724
19550,3,1090.355391
19560,3,1089.737725
19570,3,1089.124693
19580,3,1088.516257
19590,3,1087.912385
19600,3,1087.313042
19610,3,1086.718195
19620,3,1086.127808
19630,3,1085.154821
19640,3,1083.69813
19650,3,1082.254348
19660,3,1080.823357
19670,3,1079.405042
19680,3,1077.999291
19690,3,1076.605988
19700,3,1075.225024
19710,3,1073.856286
19720,3,1072.499664
19730,3,1071.15505
19740,3,1069.822336
19750,3,1068.501414
19760,3,1067.19218
19770,3,1065.894527
19780,3,1064.608351
19790,3,1063.333551
19800,3,1062.070022
19810,3,1060.817664
19820,3,1059.576378
19830,3,1058.346062
19840,3,1057.12662
19850,3,1055.917952
19860,3,1054.719963
19870,3,1053.532557
19880,3,1052.355638
19890,3,1048.715376
19900,3,1044.896258
19910,3,1041.12729
19920,3,1037.407783
19930,3,1033.737056
19940,3,1030.114437
19950,3,1026.539265
19960,3,1023.010887
19970,3,1019.528661
19980,3,1016.091953
19990,3,1012.700137
20000,3,1006.864852
20010,3,1000.898299
20020,3,995.014757
20030,3,989.213036
20040,3,983.491965
20050,3,977.85039
20060,3,972.287171
20070,3,966.801187
20080,3,961.391334
20090,3,956.056523
20100,3,950.795679
20110,3,945.607747
20120,3,940.491684
20130,3,935.446463
20140,3,930.471072
20150,3,925.564513
20160,3,920.207465
20170,3,914.561795
20180,3,908.990586
20190,3,903.492815
20200,3,898.067472
20210,3,892.713563
20220,3,887.430106
20230,3,882.216135
20240,3,877.070696
20250,3,871.99285
20260,3,866.981669
20270,3,862.036242
20280,3,857.155666
20290,3,852.339055
20300,3,847.585532
20310,3,840.408197
20320,3,833.115566
20330,3,825.923412
20340,3,818.830309
20350,3,811.422937
20360,3,804.092352
20370,3,796.860135
20380,3,789.724913
20390,3,782.685332
20400,3,775.740059
20410,3,768.887778
20420,3,762.127194
20430,3,755.457027
20440,3,748.87602
20450,1,10
,3,832.382931
20460,3,825.976536
20470,3,819.65563
20480,1,9
,3,792.508737
20490,3,735.579197
20500,3,730.582985
20510,1,10
,3,779.651478
20520,3,774.783795
20530,3,769.979068
20540,3,765.236442
20550,1,9
,3,758.028342
20560,3,717.485673
20570,3,710.612752
20580,3,703.83514
20590,1,8
,3,675.864048
20600,3,618.879723
20610,3,613.455151
20620,3,608.104426
20630,1,9
,3,665.826506
20640,1,8
,3,657.816409
20650,3,619.506009
20660,3,614.710234
20670,3,609.981214
20680,3,605.317997
20690,3,600.71964
20700,3,596.185216
20710,3,591.713812
20720,3,587.304527
20730,3,582.956473
20740,3,578.668778
20750,3,574.440578
20760,3,570.271025
20770,3,566.159282
20780,3,562.104524
20790,3,558.105938
20800,3,554.162725
20810,1,9
,3,613.274093
20820,3,609.439267
20830,3,605.657478
20840,3,601.927973
20850,3,598.250006
20860,3,594.622845
20870,3,591.045765
20880,3,587.518055
20890,3,584.039013
20900,1,8
,3,559.366475
20910,3,505.542795
20920,3,503.280865
20930,3,501.048765
20940,3,498.846087
20950,3,496.672424
20960,3,494.527377
20970,3,492.410554
20980,3,490.321566
20990,1,9
,3,542.26003
21000,3,540.22557
21010,3,538.217814
21020,3,536.236396
21030,3,534.280954
21040,3,532.351132
21050,3,530.44658
21060,3,528.566951
