C
G0#P,G1#P,G0#Q,G1#Q,G0#costp,G1#costp,totP,totQ,totC
Time,Item,Value
10,0,7.787861
,1,6.214308
,2,0.701793
,3,3.203179
,4,123642.906744
,5,99044.77056
,6,14.002168
,7,3.904972
,8,222687.677303
310,4,123642.906301
,5,99044.772991
,8,222687.679292
610,4,123642.906475
,5,99044.7728
,8,222687.679275
910,4,123642.906388
,5,99044.77286
,8,222687.679249
1210,4,123642.906364
,5,99044.772885
1510,4,123642.906374
,5,99044.772919
,8,222687.679292
1810,4,123642.906186
,5,99044.773091
,8,222687.679277
2110,4,123642.906228
,5,99044.773075
,8,222687.679303
2410,4,123642.906284
,5,99044.773026
,8,222687.679309
2710,4,123642.906327
,5,99044.772972
,8,222687.679299
3010,4,123642.906464
,5,99044.772821
,8,222687.679285
3310,4,123642.90626
,5,99044.773031
,8,222687.679291
3610,4,123642.906331
,5,99044.772955
,8,222687.679286
3910,4,123642.906393
,5,99044.772888
,8,222687.679281
4210,4,123642.906237
,5,99044.77305
,8,222687.679287
4510,4,123642.906371
,5,99044.772915
,8,222687.679286
4810,4,123642.906279
,5,99044.773029
,8,222687.679307
5110,4,123642.906515
,5,99044.772761
,8,222687.679276
5410,4,123642.906343
,5,99044.772925
,8,222687.679268
5710,4,123642.906305
,5,99044.772957
,8,222687.679262
6010,4,123642.9064
,5,99044.7729
,8,222687.6793
6310,4,123642.9063
,5,99044.772973
,8,222687.679273
6610,4,123642.906282
,5,99044.772986
,8,222687.679268
6910,4,123642.906397
,5,99044.772852
,8,222687.679248
7210,4,123642.906302
,5,99044.772976
,8,222687.679278
7510,4,123642.9063
,5,99044.772969
,8,222687.679269
7810,4,123642.906396
,5,99044.77288
,8,222687.679275
8110,4,123642.906188
,5,99044.773077
,8,222687.679265
8410,4,123642.906333
,5,99044.772931
8710,4,123642.906368
,5,99044.772863
,8,222687.67923
9010,4,123642.906324
,5,99044.772891
,8,222687.679215
9310,4,123642.906298
,5,99044.77297
,8,222687.679268
9610,4,123642.906233
,5,99044.773037
,8,222687.67927
9910,4,123642.906212
,5,99044.773079
,8,222687.679291
10210,4,123642.906428
,5,99044.772873
,8,222687.679301
10510,4,123642.906416
,5,99044.772835
,8,222687.679251
10810,4,123642.906377
,5,99044.772896
,8,222687.679274
11110,4,123642.906219
,5,99044.773036
,8,222687.679255
11410,4,123642.90635
,5,99044.772929
,8,222687.679279
11710,4,123642.906881
,5,99044.770389
,8,222687.67727
12010,4,123642.90634
,5,99044.772931
,8,222687.679271
12310,4,123642.906229
,5,99044.773063
,8,222687.679292
12610,4,123642.906411
,5,99044.772886
,8,222687.679297
12910,4,123642.906338
,5,99044.772887
,8,222687.679226
13210,4,123642.906228
,5,99044.773089
,8,222687.679316
13510,4,123642.906279
,5,99044.773002
,8,222687.67928
13810,4,123642.906339
,5,99044.772936
,8,222687.679275
14110,4,123642.906266
,5,99044.773043
,8,222687.67931
14410,4,123642.906344
,5,99044.772913
,8,222687.679257
14710,4,123642.906285
,5,99044.772984
,8,222687.679269
15010,4,123642.906417
,5,99044.772847
,8,222687.679264
15310,4,123642.906317
,5,99044.77294
,8,222687.679258
15610,4,123642.906338
,5,99044.772928
,8,222687.679265
15910,4,123642.906237
,5,99044.77304
,8,222687.679278
16210,4,123642.906385
,5,99044.772916
,8,222687.679301
16510,4,123642.906334
,5,99044.772886
,8,222687.67922
16810,0,7.837878
,1,6.254306
,2,0.701876
,3,3.203116
,4,125221.037221
,5,100307.586644
,6,14.092185
,7,3.904992
,8,225528.623866
17110,0,7.887897
,1,6.294304
,2,0.701961
,3,3.203053
,4,126809.222697
,5,101578.393285
,6,14.182202
,7,3.905014
,8,228387.615981
17410,4,126809.222554
,5,101578.393423
,8,228387.615977
17710,4,126809.222593
,5,101578.393387
,8,228387.615981
18010,0,7.96793
,1,6.358302
,2,0.702101
,3,3.202954
,4,129371.190452
,5,103628.342034
,6,14.326232
,7,3.905055
,8,232999.532486
18310,4,129371.1904
,5,103628.342092
,8,232999.532492
18610,0,8.016738
,1,6.397333
,2,0.702189
,3,3.202894
,4,130946.183536
,5,104888.615084
,6,14.414071
,7,3.905083
,8,235834.798619
18910,0,8.234397
,1,6.571382
,2,0.702604
,3,3.202635
,4,138085.893155
,5,110601.19851
,6,14.805778
,7,3.905239
,8,248687.091665
19210,0,8.325175
,1,6.643969
,2,0.702787
,3,3.202531
,4,141119.61875
,5,113028.404674
,6,14.969144
,7,3.905318
,8,254148.023425
19510,0,8.413193
,1,6.714347
,2,0.702972
,3,3.202431
,4,144092.590995
,5,115406.87065
,6,15.12754
,7,3.905403
,8,259499.461645
19810,0,8.378167
,1,6.686341
,2,0.702898
,3,3.202471
,4,142905.798138
,5,114457.415462
,6,15.064507
,7,3.905368
,8,257363.2136
20110,0,8.316313
,1,6.636884
,2,0.702769
,3,3.202541
,4,140822.020205
,5,112790.314986
,6,14.953197
,7,3.90531
,8,253612.335191
20410,0,8.219009
,1,6.559079
,2,0.702573
,3,3.202653
,4,137574.932062
,5,110192.41674
,6,14.778088
,7,3.905226
,8,247767.348802
20710,0,8.119207
,1,6.479277
,2,0.70238
,3,3.20277
,4,134283.80611
,5,107559.274626
,6,14.598484
,7,3.90515
,8,241843.080736
21010,0,8.088106
,1,6.454404
,2,0.702321
,3,3.202808
,4,133266.34014
,5,106745.07439
,6,14.542509
,7,3.905128
,8,240011.41453
21310,0,8.141818
,1,6.497357
,2,0.702423
,3,3.202744
,4,135025.93907
,5,108153.054418
,6,14.639175
,7,3.905166
,8,243178.993488
21610,0,8.127997
,1,6.486305
,2,0.702396
,3,3.20276
,4,134572.075189
,5,107789.91683
,6,14.614303
,7,3.905156
,8,242361.992018
21910,4,134572.07491
,5,107789.916924
,8,242361.991834
22210,4,134572.074849
,5,107789.916898
,8,242361.991747
22510,0,8.236924
,1,6.573402
,2,0.702609
,3,3.202632
,4,138169.904188
,5,110668.409357
,6,14.810326
,7,3.905241
,8,248838.313545
22810,0,8.195921
,1,6.540618
,2,0.702528
,3,3.20268
,4,136810.021357
,5,109580.440696
,6,14.736539
,7,3.905207
,8,246390.462053
23110,0,8.16428
,1,6.515317
,2,0.702466
,3,3.202717
,4,135765.204697
,5,108744.525679
,6,14.679597
,7,3.905183
,8,244509.730376
23410,0,8.177468
,1,6.525863
,2,0.702492
,3,3.202701
,4,136200.215278
,5,109092.56274
,6,14.703331
,7,3.905193
,8,245292.778018
23710,0,8.163819
,1,6.515007
,2,0.702407
,3,3.202798
,4,135750.039331
,5,108734.283654
,6,14.678826
,7,3.905205
,8,244484.322985
24010,0,8.348386
,1,6.662878
,2,0.702474
,3,3.202984
,4,141900.61243
,5,113665.026007
,6,15.011264
,7,3.905458
,8,255565.638437
24310,0,8.367964
,1,6.678533
,2,0.702512
,3,3.202959
,4,142561.021256
,5,114193.431585
,6,15.046497
,7,3.905472
,8,256754.452842
24610,0,8.394301
,1,6.699593
,2,0.702564
,3,3.202927
,4,143451.853442
,5,114906.193094
,6,15.093893
,7,3.905491
,8,258358.046536
24910,0,8.363498
,1,6.674962
,2,0.702504
,3,3.202965
,4,142410.243414
,5,114072.792016
,6,15.03846
,7,3.905468
,8,256483.03543
25210,0,8.453181
,1,6.746621
,2,0.702736
,3,3.202782
,4,145453.500801
,5,116505.871791
,6,15.199802
,7,3.905519
,8,261959.372591
25510,0,8.387905
,1,6.694374
,2,0.702658
,3,3.202789
,4,143235.274561
,5,114729.352307
,6,15.082279
,7,3.905447
,8,257964.626868
25810,0,8.242007
,1,6.577621
,2,0.702462
,3,3.202839
,4,138338.944996
,5,110808.796216
,6,14.819628
,7,3.905301
,8,249147.741212
26110,0,8.259503
,1,6.591588
,2,0.70252
,3,3.202785
,4,138921.641525
,5,111274.212245
,6,14.851091
,7,3.905304
,8,250195.85377
26410,0,8.293477
,1,6.618794
,2,0.702546
,3,3.202799
,4,140056.553422
,5,112183.594997
,6,14.91227
,7,3.905345
,8,252240.14842
26710,0,8.384032
,1,6.691442
,2,0.702483
,3,3.203026
,4,143104.190061
,5,114630.06996
,6,15.075474
,7,3.905509
,8,257734.260021
27010,0,8.431144
,1,6.729229
,2,0.70246
,3,3.203133
,4,144702.721312
,5,115913.014215
,6,15.160373
,7,3.905593
,8,260615.735527
27310,0,8.424617
,1,6.72401
,2,0.702448
,3,3.203142
,4,144480.734705
,5,115735.395777
,6,15.148628
,7,3.905589
,8,260216.130483
27610,0,8.481587
,1,6.769703
,2,0.702423
,3,3.20327
,4,146424.10297
,5,117295.066069
,6,15.251289
,7,3.905693
,8,263719.169039
27910,0,8.540263
,1,6.816713
,2,0.702447
,3,3.203328
,4,148439.248578
,5,118910.618493
,6,15.356975
,7,3.905775
,8,267349.867072
28210,0,8.512506
,1,6.794511
,2,0.702401
,3,3.203354
,4,147484.280821
,5,118146.244258
,6,15.307017
,7,3.905755
,8,265630.525078
28510,0,8.518314
,1,6.799129
,2,0.702437
,3,3.203308
,4,147683.830675
,5,118305.035385
,6,15.317443
,7,3.905745
,8,265988.866059
28810,0,8.531817
,1,6.809888
,2,0.7025
,3,3.203235
,4,148148.331939
,5,118675.386267
,6,15.341704
,7,3.905735
,8,266823.718206
29110,0,8.486487
,1,6.773596
,2,0.702457
,3,3.203226
,4,146591.875231
,5,117428.431133
,6,15.260083
,7,3.905683
,8,264020.306364
29410,0,8.501049
,1,6.785242
,2,0.702483
,3,3.203211
,4,147090.995838
,5,117827.885476
,6,15.286292
,7,3.905694
,8,264918.881314
29710,0,8.520117
,1,6.80058
,2,0.702431
,3,3.203321
,4,147745.806352
,5,118354.967903
,6,15.320697
,7,3.905751
,8,266100.774255
30010,0,8.658087
,1,6.91106
,2,0.70255
,3,3.203366
,4,152527.354639
,5,122186.290556
,6,15.569146
,7,3.905916
,8,274713.645194
30310,0,8.61879
,1,6.879603
,2,0.702505
,3,3.203369
,4,151157.712241
,5,121089.198864
,6,15.498393
,7,3.905874
,8,272246.911105
30610,0,8.6848
,1,6.93249
,2,0.702534
,3,3.203434
,4,153461.935684
,5,122936.539328
,6,15.61729
,7,3.905968
,8,276398.475012
30910,0,8.780583
,1,7.008984
,2,0.702823
,3,3.203171
,4,156836.456857
,5,125633.232173
,6,15.789567
,7,3.905994
,8,282469.68903
31210,0,8.716989
,1,6.95804
,2,0.702786
,3,3.203121
,4,154591.88706
,5,123834.015443
,6,15.675029
,7,3.905907
,8,278425.902503
31510,0,8.702247
,1,6.946323
,2,0.702685
,3,3.203239
,4,154073.888402
,5,123422.039741
,6,15.64857
,7,3.905924
,8,277495.928143
31810,0,8.675952
,1,6.925283
,2,0.702646
,3,3.203253
,4,153152.074051
,5,122683.97703
,6,15.601235
,7,3.905899
,8,275836.05108
32110,0,8.702645
,1,6.946746
,2,0.702582
,3,3.203391
,4,154087.852905
,5,123436.911384
,6,15.649391
,7,3.905973
,8,277524.764289
32410,0,8.624339
,1,6.884115
,2,0.702444
,3,3.203471
,4,151350.764287
,5,121246.242421
,6,15.508454
,7,3.905915
,8,272597.006708
32710,0,8.620359
,1,6.880902
,2,0.702465
,3,3.203432
,4,151212.290641
,5,121134.406828
,6,15.501262
,7,3.905897
,8,272346.697469
33010,0,8.538966
,1,6.815672
,2,0.702448
,3,3.203325
,4,148394.563336
,5,118874.738014
,6,15.354638
,7,3.905773
,8,267269.30135
33310,0,8.521722
,1,6.80181
,2,0.702487
,3,3.203239
,4,147801.018909
,5,118397.273556
,6,15.323532
,7,3.905725
,8,266198.292466
33610,0,8.569275
,1,6.839862
,2,0.702553
,3,3.203217
,4,149440.735162
,5,119710.222301
,6,15.409137
,7,3.90577
,8,269150.957463
33910,0,8.537455
,1,6.814407
,2,0.702501
,3,3.203242
,4,148342.526819
,5,118831.115695
,6,15.351862
,7,3.905743
,8,267173.642514
34210,0,8.448735
,1,6.743377
,2,0.702414
,3,3.20323
,4,145301.873747
,5,116395.196049
,6,15.192113
,7,3.905644
,8,261697.069796
34510,0,8.509881
,1,6.792428
,2,0.70238
,3,3.203383
,4,147394.116431
,5,118074.677053
,6,15.302309
,7,3.905762
,8,265468.793484
34810,0,8.485531
,1,6.772912
,2,0.702377
,3,3.203347
,4,146559.14105
,5,117405.011788
,6,15.258443
,7,3.905724
,8,263964.152838
35110,0,8.473576
,1,6.763299
,2,0.702405
,3,3.203284
,4,146150.040696
,5,117075.865047
,6,15.236875
,7,3.905689
,8,263225.905743
35410,0,8.453387
,1,6.747169
,2,0.702353
,3,3.203331
,4,145460.513246
,5,116524.606134
,6,15.200556
,7,3.905684
,8,261985.11938
35710,0,8.448863
,1,6.743514
,2,0.702381
,3,3.203281
,4,145306.233261
,5,116399.87493
,6,15.192378
,7,3.905662
,8,261706.108191
36010,0,8.488008
,1,6.774763
,2,0.702507
,3,3.203154
,4,146643.94979
,5,117468.439088
,6,15.262771
,8,264112.388877
36310,0,8.647429
,1,6.902553
,2,0.702513
,3,3.203403
,4,152155.278419
,5,121889.11646
,6,15.549982
,7,3.905917
,8,274044.394878
36610,0,8.626754
,1,6.885997
,2,0.702496
,3,3.203396
,4,151434.793772
,5,121311.788007
,6,15.512751
,7,3.905892
,8,272746.581779
36910,0,8.641667
,1,6.897917
,2,0.70253
,3,3.203368
,4,151954.332076
,5,121727.319738
,6,15.539585
,7,3.905898
,8,273681.651814
37210,0,8.610797
,1,6.8732
,2,0.702501
,3,3.203361
,4,150879.903323
,5,120866.482785
,6,15.483998
,7,3.905863
,8,271746.386108
37510,0,8.616639
,1,6.877799
,2,0.702584
,3,3.203248
,4,151082.928881
,5,121026.419081
,6,15.494438
,7,3.905832
,8,272109.347962
37810,0,8.551068
,1,6.825284
,2,0.702536
,3,3.203213
,4,148811.857337
,5,119206.365727
,6,15.376352
,7,3.905749
,8,268018.223064
38110,0,8.477352
,1,6.766228
,2,0.702501
,3,3.203147
,4,146279.187009
,5,117176.091328
,6,15.24358
,7,3.905648
,8,263455.278337
38410,0,8.549898
,1,6.82423
,2,0.702651
,3,3.203046
,4,148771.469196
,5,119169.990116
,6,15.374128
,7,3.905697
,8,267941.459312
38710,0,8.543416
,1,6.819109
,2,0.702577
,3,3.203141
,4,148547.943014
,5,118993.254799
,6,15.362525
,7,3.905718
,8,267541.197812
39010,0,8.560509
,1,6.832912
,2,0.702477
,3,3.203316
,4,149137.766789
,5,119469.872419
,6,15.39342
,7,3.905793
,8,268607.639208
39310,0,8.519128
,1,6.79976
,2,0.702457
,3,3.203279
,4,147711.816098
,5,118326.759628
,6,15.318888
,7,3.905736
,8,266038.575725
39610,0,8.463781
,1,6.755493
,2,0.702361
,3,3.203336
,4,145815.298868
,5,116808.908221
,6,15.219274
,7,3.905697
,8,262624.207089
39910,0,8.493763
,1,6.779459
,2,0.702426
,3,3.203285
,4,146841.139637
,5,117629.454887
,6,15.273222
,7,3.905711
,8,264470.594524
40210,0,8.451792
,1,6.74588
,2,0.702364
,3,3.203312
,4,145406.126082
,5,116480.602012
,6,15.197673
,7,3.905676
,8,261886.728094
40510,0,8.414171
,1,6.715707
,2,0.70238
,3,3.203227
,4,144125.797076
,5,115453.073651
,6,15.129878
,7,3.905607
,8,259578.870727
40810,0,8.370056
,1,6.680353
,2,0.702371
,3,3.20317
,4,142631.690769
,5,114254.946207
,6,15.050409
,7,3.90554
,8,256886.636976
41110,0,8.37739
,1,6.686065
,2,0.702537
,3,3.202938
,4,142879.559077
,5,114448.073843
,6,15.063455
,7,3.905476
,8,257327.632921
41410,0,8.296844
,1,6.621606
,2,0.702431
,3,3.202966
,4,140169.307831
,5,112277.822308
,6,14.918451
,7,3.905397
,8,252447.130138
41710,0,8.256999
,1,6.589693
,2,0.702407
,3,3.202939
,4,138838.160418
,5,111210.99627
,6,14.846691
,7,3.905346
,8,250049.156688
42010,0,8.283233
,1,6.610589
,2,0.702538
,3,3.202795
,4,139713.864447
,5,111908.960752
,6,14.893822
,7,3.905333
,8,251622.825199
42310,0,8.288546
,1,6.614811
,2,0.702577
,3,3.20275
,4,139891.539001
,5,112050.238943
,6,14.903357
,7,3.905327
,8,251941.777944
42610,0,8.247971
,1,6.582332
,2,0.702532
,3,3.202751
,4,138537.445112
,5,110965.684593
,6,14.830304
,7,3.905283
,8,249503.129705
42910,0,8.2256
,1,6.564444
,2,0.702488
,3,3.202778
,4,137793.657868
,5,110370.601893
,6,14.790044
,7,3.905266
,8,248164.259761
43210,0,8.213785
,1,6.554997
,2,0.702465
,3,3.202792
