C
L0-1#P,L0-2#P,L0-1#Q,L0-2#Q,L0-1#I,L0-2#I
Time,Item,Value
10,0,3.986964
,1,3.800896
,2,-0.0
,3,0.701793
,4,0.230187
,5,0.223154
16810,0,3.94694
,1,3.890938
,3,0.701876
,4,0.227877
,5,0.228269
17110,0,3.906917
,1,3.980981
,3,0.701961
,4,0.225566
,5,0.233388
18010,0,3.842879
,1,4.125051
,3,0.702101
,4,0.221869
,5,0.241585
18610,0,3.803824
,1,4.212913
,3,0.702189
,4,0.219614
,5,0.246588
18910,0,3.629672
,1,4.604724
,3,0.702604
,4,0.209559
,5,0.268931
19210,0,3.557043
,1,4.768132
,3,0.702787
,4,0.205366
,5,0.278262
19510,0,3.486626
,1,4.926567
,3,0.702972
,4,0.2013
,5,0.287317
19810,0,3.514648
,1,4.863519
,3,0.702898
,4,0.202918
,5,0.283713
20110,0,3.564133
,1,4.75218
,3,0.702769
,4,0.205775
,5,0.277351
20410,0,3.641982
,1,4.577027
,3,0.702573
,4,0.21027
,5,0.26735
20710,0,3.721832
,1,4.397375
,3,0.70238
,4,0.21488
,5,0.257101
21010,0,3.74672
,1,4.341386
,3,0.702321
,4,0.216317
,5,0.253909
21310,0,3.703741
,1,4.438077
,3,0.702423
,4,0.213836
,5,0.259422
21610,0,3.714799
,1,4.413198
,3,0.702396
,4,0.214474
,5,0.258003
22510,0,3.62765
,1,4.609273
,3,0.702609
,4,0.209442
,5,0.269191
22810,0,3.660455
,1,4.535466
,3,0.702528
,4,0.211336
,5,0.264978
23110,0,3.68577
,1,4.47851
,3,0.702466
,4,0.212798
,5,0.261728
23410,0,3.675218
,1,4.50225
,3,0.702492
,4,0.212189
,5,0.263083
23710,0,3.740113
,1,4.423707
,3,0.702408
,4,0.215935
,5,0.258602
24010,0,3.862315
,1,4.486071
,3,0.702474
,4,0.222991
,5,0.26216
24310,0,3.846651
,1,4.521313
,3,0.702512
,4,0.222086
,5,0.26417
24610,0,3.825578
,1,4.568722
,3,0.702564
,4,0.22087
,5,0.266876
24910,0,3.850224
,1,4.513274
,3,0.702504
,4,0.222293
,5,0.263712
25210,0,3.72986
,1,4.723321
,3,0.702736
,4,0.215344
,5,0.275703
25510,0,3.73422
,1,4.653685
,3,0.702658
,4,0.215595
,5,0.271726
25810,0,3.767515
,1,4.474492
,3,0.702462
,4,0.217518
,5,0.261499
26110,0,3.731429
,1,4.528075
,3,0.70252
,4,0.215434
,5,0.264556
26410,0,3.740911
,1,4.552565
,3,0.702546
,4,0.215982
,5,0.265954
26710,0,3.889453
,1,4.494579
,3,0.702483
,4,0.224558
,5,0.262645
27010,0,3.958024
,1,4.47312
,3,0.70246
,4,0.228517
